timestamp_body,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,times_clock_body,5 x deep breath,5 x deep breath_notes
705886778,2.31,3.54,-8.87,-0.42,-2.73,0.14,2024-06-07 15:22:14.882242,0,
705886784,2.27,3.55,-8.92,-0.7,-3.08,0.21,2024-06-07 15:22:14.927092,0,
705886788,2.3,3.59,-8.84,-0.91,-3.78,0.14,2024-06-07 15:22:14.927092,0,
705886793,2.29,3.56,-8.85,-0.98,-4.27,0.07,2024-06-07 15:22:14.927092,0,
705886798,2.24,3.58,-8.88,-0.91,-4.69,0.0,2024-06-07 15:22:14.927092,0,
705886803,2.25,3.59,-8.85,-0.91,-4.97,-0.14,2024-06-07 15:22:14.927092,0,
705886808,2.29,3.58,-8.89,-0.84,-5.04,-0.21,2024-06-07 15:22:14.927092,0,
705886812,2.26,3.55,-8.89,-0.77,-4.69,-0.07,2024-06-07 15:22:14.927092,0,
705886817,2.26,3.54,-8.87,-0.77,-4.27,-0.07,2024-06-07 15:22:14.927092,0,
705886823,2.27,3.53,-8.83,-0.7,-3.85,-0.21,2024-06-07 15:22:14.956993,0,
705886827,2.28,3.53,-8.84,-0.56,-3.43,-0.21,2024-06-07 15:22:14.956993,0,
705886832,2.28,3.54,-8.81,-0.56,-2.94,-0.07,2024-06-07 15:22:14.956993,0,
705886837,2.31,3.51,-8.76,-0.63,-2.8,-0.14,2024-06-07 15:22:14.956993,0,
705886842,2.3,3.52,-8.77,-0.63,-2.87,0.0,2024-06-07 15:22:14.956993,0,
705886847,2.33,3.52,-8.81,-0.63,-2.87,0.14,2024-06-07 15:22:14.956993,0,
705886851,2.33,3.53,-8.8,-0.7,-2.94,0.14,2024-06-07 15:22:14.956993,0,
705886856,2.35,3.49,-8.79,-0.56,-3.15,0.14,2024-06-07 15:22:14.956993,0,
705886862,2.31,3.46,-8.85,-0.63,-3.29,0.14,2024-06-07 15:22:14.986892,0,
705886866,2.31,3.5,-8.87,-0.91,-3.36,0.21,2024-06-07 15:22:14.986892,0,
705886871,2.32,3.51,-8.87,-1.33,-3.29,0.07,2024-06-07 15:22:14.986892,0,
705886876,2.31,3.53,-8.92,-1.68,-3.5,0.07,2024-06-07 15:22:14.986892,0,
705886881,2.29,3.53,-8.92,-1.75,-3.92,0.07,2024-06-07 15:22:14.986892,0,
705886886,2.27,3.53,-8.9,-1.96,-3.99,-0.07,2024-06-07 15:22:14.986892,0,
705886890,2.31,3.58,-8.88,-2.03,-4.13,-0.07,2024-06-07 15:22:14.986892,0,
705886895,2.29,3.61,-8.88,-1.96,-4.2,-0.07,2024-06-07 15:22:14.986892,0,
